Mixture	bladder	lymph_node	muscle	salivary_gland	spleen	testis	adipocyte	artery	bone	esophagus	skin	stomach	kidney	liver	nerve	lung	heart	bowel	brain	pancreas	pleurae	thyroid	vein	P-value	Correlation	RMSE
GSM1936835	0	0.288653458239277	0.00287525643317193	0.00989089638072164	0	0.00498468772012685	0.198861370318546	0	0.0516000202240913	0	0.00291560455217159	0.0258280180759915	0	0.0193461182071728	0.086881187259452	0.274063586060712	0.009288593393831	0.0148458506151155	0.0099653525196187	0	0	0	0	9999	0.0433435557890792	1.04331323301858
GSM1936836	0	0.151323312102445	0.00818273105620459	0.111544248232744	0	0.00832185526723582	0.261684626956427	0.0408229173794406	0.0598169920298694	0	0.00551594957944183	0.0286837389887837	0	0.0375279613663023	0.0824056349421481	0.14365632967822	0.00284272401257793	0.0513798793731986	0.0062910990349614	0	0	0	0	9999	0.0562990054419859	1.06161075152064
GSM1936837	0	0.145062710831001	0.0108768456001342	0.0932123533154071	0	0.00501489401019988	0.288303108879732	0.0364597679114697	0.0648803030730624	0	0.0133954879244772	0.0887773601943384	0	0.0506385223234617	0.0585856311235474	0.120506709183391	0	0.0152690334841923	0.00901727214558604	0	0	0	0	9999	0.0481265344097357	1.07722155790113
GSM1936838	0.0392888307503003	0.0696286778160113	0.00486758541659076	0.0562279593918271	0	0.00169551750690617	0.220807529111903	0	0.0665404533802089	0	0	0.0587642132175699	0	0.0824283961269123	0.120521639878573	0.273221063424062	0	0	0.00600813397913561	0	0	0	0	9999	0.0380002407957009	1.08605742135513
GSM1936839	0	0.137469868869204	0.00388239326643535	0.10954966583443	0	0	0.251252206330036	0.0140949365169841	0.127520923502629	0	0	0.0696043273090305	0.0594184020597148	0.0359789518808179	0.00864508200357938	0.162583408841524	0	0	0.019999833585616	0	0	0	0	9999	0.0695020844165522	1.0345612037696
GSM1936840	0	0.0477472751280039	0	0.0815580650855123	0	0.00644812624721087	0.27512838835706	0	0.110818793800487	0	0.00383495229074164	0.0274685422672123	0	0.00779257058506921	0.0595062346701121	0.235320818654228	0.0187769234563044	0.108090259572775	0.0175090498852833	0	0	0	0	9999	0.0357893360798192	1.06688605227924
GSM1936841	0	0.277157618071572	0.00923673950280366	0	0	0.00322210329730317	0.274816243856667	0	0.0475167021607742	0	0.00427663501431823	0.0335001492089196	0	0.0159437988345478	0.036844483181456	0.267642145444382	0	0.0217515351811914	0.0080918462460655	0	0	0	0	9999	0.0897628631380677	1.02903710398683
GSM1936842	0	0.253483082347399	0.0122219121479879	0.0749467778541495	0	0.00353425635769021	0.253638505713892	0	0.0565669791231984	0	0.00385912602149076	0.0996990314048379	0	0.0696279227935354	0.0173787425078452	0.137030685950893	0	0	0.0180129777770812	0	0	0	0	9999	0.0374118212600267	1.05717008073199
GSM1936843	0	0.150257074026199	0.0110213801164513	0.0362969594520158	0	0.00413355770203873	0.366990126551843	0.003336795720197	0.0900352727812861	0	0.00641773055770329	0.0576513661887447	0	0.0322176357214204	0.0112944953965961	0.184708665675282	0.00751354444381145	0.0140683396181593	0.0240570560482514	0	0	0	0	9999	0.0536122988042722	1.03986951631164
GSM1936844	0	0.377160540007569	0.00561988883501934	0	0	0	0.214713635935609	0.0132278208785476	0.0684579498349624	0	0.00342438649905798	0.0568227703197536	0.0519254027624805	0.0241000195249476	0	0.174617008049109	0	0	0.00993057735294432	0	0	0	0	9999	0.0852582916181998	1.03078426282726
