"V1"	"V4"
"1"	"ID"	"Transcript ID(Array Design)"
"2"	"MIMAT0000001_st"	"cel-let-7-5p"
"3"	"MIMAT0015091_st"	"cel-let-7-3p"
"4"	"MIMAT0000002_st"	"cel-lin-4-5p"
"5"	"MIMAT0015092_st"	"cel-lin-4-3p"
"6"	"MIMAT0020301_st"	"cel-miR-1-5p"
"7"	"MIMAT0000003_st"	"cel-miR-1-3p"
"8"	"MIMAT0020302_st"	"cel-miR-2-5p"
"9"	"MIMAT0000004_st"	"cel-miR-2-3p"
"10"	"MIMAT0000005_st"	"cel-miR-34-5p"
"11"	"MIMAT0015093_st"	"cel-miR-34-3p"
"12"	"MIMAT0020303_st"	"cel-miR-35-5p"
"13"	"MIMAT0000006_st"	"cel-miR-35-3p"
"14"	"MIMAT0020304_st"	"cel-miR-36-5p"
"15"	"MIMAT0000007_st"	"cel-miR-36-3p"
"16"	"MIMAT0015094_st"	"cel-miR-37-5p"
"17"	"MIMAT0000008_st"	"cel-miR-37-3p"
"18"	"MIMAT0020305_st"	"cel-miR-38-5p"
"19"	"MIMAT0000009_st"	"cel-miR-38-3p"
"20"	"MIMAT0020306_st"	"cel-miR-39-5p"
"21"	"MIMAT0000010_st"	"cel-miR-39-3p"
"22"	"MIMAT0020307_st"	"cel-miR-40-5p"
"23"	"MIMAT0000011_st"	"cel-miR-40-3p"
"24"	"MIMAT0020770_st"	"cel-miR-41-5p"
"25"	"MIMAT0000012_st"	"cel-miR-41-3p"
"26"	"MIMAT0015095_st"	"cel-miR-42-5p"
"27"	"MIMAT0000013_st"	"cel-miR-42-3p"
"28"	"MIMAT0020308_st"	"cel-miR-43-5p"
"29"	"MIMAT0000014_st"	"cel-miR-43-3p"
"30"	"MIMAT0020771_st"	"cel-miR-44-5p"
"31"	"MIMAT0000015_st"	"cel-miR-44-3p"
"32"	"MIMAT0020772_st"	"cel-miR-45-5p"
"33"	"MIMAT0000016_st"	"cel-miR-45-3p"
"34"	"MIMAT0015096_st"	"cel-miR-46-5p"
"35"	"MIMAT0000017_st"	"cel-miR-46-3p"
"36"	"MIMAT0015097_st"	"cel-miR-47-5p"
"37"	"MIMAT0000018_st"	"cel-miR-47-3p"
"38"	"MIMAT0000019_st"	"cel-miR-48-5p"
"39"	"MIMAT0015098_st"	"cel-miR-48-3p"
"40"	"MIMAT0020309_st"	"cel-miR-49-5p"
"41"	"MIMAT0000020_st"	"cel-miR-49-3p"
"42"	"MIMAT0000021_st"	"cel-miR-50-5p"
"43"	"MIMAT0020310_st"	"cel-miR-50-3p"
"44"	"MIMAT0000022_st"	"cel-miR-51-5p"
"45"	"MIMAT0015099_st"	"cel-miR-51-3p"
"46"	"MIMAT0000023_st"	"cel-miR-52-5p"
"47"	"MIMAT0020311_st"	"cel-miR-52-3p"
"48"	"MIMAT0000024_st"	"cel-miR-53-5p"
"49"	"MIMAT0020312_st"	"cel-miR-53-3p"
"50"	"MIMAT0020773_st"	"cel-miR-54-5p"
"51"	"MIMAT0000025_st"	"cel-miR-54-3p"
"52"	"MIMAT0020313_st"	"cel-miR-55-5p"
"53"	"MIMAT0000026_st"	"cel-miR-55-3p"
"54"	"MIMAT0000027_st"	"cel-miR-56-5p"
"55"	"MIMAT0000028_st"	"cel-miR-56-3p"
"56"	"MIMAT0000029_st"	"cel-miR-57-5p"
"57"	"MIMAT0020314_st"	"cel-miR-57-3p"
"58"	"MIMAT0015100_st"	"cel-miR-58-5p"
"59"	"MIMAT0000030_st"	"cel-miR-58-3p"
"60"	"MIMAT0015101_st"	"cel-miR-59-5p"
"61"	"MIMAT0000031_st"	"cel-miR-59-3p"
"62"	"MIMAT0015102_st"	"cel-miR-60-5p"
"63"	"MIMAT0000032_st"	"cel-miR-60-3p"
"64"	"MIMAT0015103_st"	"cel-miR-61-5p"
"65"	"MIMAT0000033_st"	"cel-miR-61-3p"
"66"	"MIMAT0000034_st"	"cel-miR-62"
"67"	"MIMAT0015104_st"	"cel-miR-63-5p"
"68"	"MIMAT0000035_st"	"cel-miR-63-3p"
"69"	"MIMAT0000036_st"	"cel-miR-64-5p"
"70"	"MIMAT0015105_st"	"cel-miR-64-3p"
"71"	"MIMAT0000037_st"	"cel-miR-65-5p"
"72"	"MIMAT0015106_st"	"cel-miR-65-3p"
"73"	"MIMAT0000038_st"	"cel-miR-66-5p"
"74"	"MIMAT0020315_st"	"cel-miR-66-3p"
"75"	"MIMAT0020316_st"	"cel-miR-67-5p"
"76"	"MIMAT0000039_st"	"cel-miR-67-3p"
"77"	"MIMAT0020317_st"	"cel-miR-70-5p"
"78"	"MIMAT0000042_st"	"cel-miR-70-3p"
"79"	"MIMAT0000043_st"	"cel-miR-71-5p"
"80"	"MIMAT0015107_st"	"cel-miR-71-3p"
"81"	"MIMAT0000044_st"	"cel-miR-72-5p"
"82"	"MIMAT0020318_st"	"cel-miR-72-3p"
"83"	"MIMAT0020319_st"	"cel-miR-73-5p"
"84"	"MIMAT0000045_st"	"cel-miR-73-3p"
"85"	"MIMAT0020320_st"	"cel-miR-74-5p"
"86"	"MIMAT0000046_st"	"cel-miR-74-3p"
"87"	"MIMAT0015108_st"	"cel-miR-75-5p"
"88"	"MIMAT0000047_st"	"cel-miR-75-3p"
"89"	"MIMAT0020321_st"	"cel-miR-76-5p"
"90"	"MIMAT0000048_st"	"cel-miR-76-3p"
"91"	"MIMAT0020774_st"	"cel-miR-77-5p"
"92"	"MIMAT0000049_st"	"cel-miR-77-3p"
"93"	"MIMAT0000050_st"	"cel-miR-78"
"94"	"MIMAT0020322_st"	"cel-miR-79-5p"
"95"	"MIMAT0000051_st"	"cel-miR-79-3p"
"96"	"MIMAT0000052_st"	"cel-miR-80-5p"
"97"	"MIMAT0000053_st"	"cel-miR-80-3p"
"98"	"MIMAT0015109_st"	"cel-miR-81-5p"
"99"	"MIMAT0000054_st"	"cel-miR-81-3p"
