,bladder,lymph_node,muscle,salivary_gland,spleen,testis,adipocyte,artery,bone,esophagus,skin,stomach,kidney,liver,nerve,lung,heart,bowel,brain,pancreas,pleurae,thyroid,vein
hsa-miR-143-3p,954231.2993,86648.6685,23273.36873,50387.67842,20661.96397,90755.62925,75777.98615,731303.8743,16838.73451,522439.7262,92126.57585,648318.2353,38592.19895,18345.32116,178539.2381,151665.6994,63230.07277,468063.3979,15177.25979,21428.36538,37927.55103,54892.39572,256546.7911
hsa-miR-143-5p,78.0825709,9.675623308,2.540982701,8.01620985,2.865336504,4.819135352,11.70037618,29.18969734,3.263793557,33.73623648,4.925803293,48.08311536,5.7253029,2.44753302,10.94615584,5.868330639,6.625212206,42.54151325,1.597917274,1.899061957,5.4563007,8.950521706,36.51700821
hsa-miR-145-3p,3347.821413,374.3982393,139.5873061,373.7418448,171.8143938,409.6859167,301.4125173,2270.905523,114.1154094,1856.174919,373.7369294,2600.902637,386.9636541,134.761597,550.4293748,493.5633181,256.3510864,2025.637314,75.80237539,147.5457373,189.267957,297.2296425,888.0654728
hsa-miR-145-5p,118749.1125,21282.34258,5389.947208,12605.26245,6310.939946,15306.64453,10790.20516,72794.24673,5146.656763,64417.15297,12139.4452,91435.11103,20179.81875,4575.120979,23386.76645,14488.59105,7652.063784,76594.9272,2939.8893,5763.022167,8078.321933,13261.58466,41958.73461
hsa-miR-28-3p,1400.023602,303.7159955,362.0529899,340.6518997,353.3201092,280.4916229,296.3682136,1145.024426,229.0437568,784.2272927,457.8636981,1288.246458,256.912915,394.337628,389.329337,422.6767989,342.6233569,862.3359279,115.6460026,254.9377528,253.3512743,249.209442,437.2188929
hsa-miR-3617-5p,58.58154588,2.776643575,1.720261174,0.609872321,0.368897176,3.557136597,0.805844182,7.176354533,0.67486458,2.857853214,9.102180661,3.700582322,0.716996864,0.348742806,5.326600001,5.099875102,0.784331442,2.872181688,2.506651816,0.394155277,1.558442048,0.709278004,9.497652786
hsa-miR-490-3p,157.8084553,0.308414278,0.309829585,0.372403485,0.614440882,0.585524153,0.417695386,0.423670018,0.17436183,31.70150288,0.449156409,72.50990728,0.252310053,3.476098998,0.739566794,0.927511787,151.9418683,94.33880221,15.9110435,1.409503258,0.52094175,0.63768647,0.946286879
hsa-miR-142-3p,1088.668856,12413.53923,746.1248977,1953.443412,13284.56378,443.0474247,1711.588844,649.6201216,12347.62463,1536.130484,1078.393592,814.1885842,1859.549959,2610.895833,866.7183061,3119.218499,1900.365083,1874.683537,309.6850457,1807.008933,2733.648408,1572.141875,1925.724776
hsa-miR-142-5p,1220.178176,8881.458047,412.8939371,762.223559,11071.32046,254.0796762,682.7333774,891.5780184,6675.040178,703.573068,588.9443025,1361.378949,1834.253689,1249.58597,493.9066056,1605.605887,1001.743508,1190.289879,148.4382026,1723.008969,1250.001782,1667.74663,1475.008747
hsa-miR-150-3p,1.50750497,28.78856726,0.969290049,1.50450349,12.4630013,0.399199481,3.918314665,0.813633888,6.98239922,1.107366066,1.917282469,1.161100768,4.157323687,1.014668346,0.734085209,2.350900972,2.496537656,1.556561396,0.28382233,2.571101756,2.809922467,1.730460607,2.210056412
